Survived,Pclass,Age,Fare,Sex_male,ZeroSib,OneSib,YesCh,Embarked_Q,Embarked_S,Cabin_B,Cabin_C,Cabin_D,Cabin_E,Cabin_F,Cabin_G,Cabin_T,Cabin_Z
0,3,0.4426966292134832,-0.3120106021758714,1,0,1,1,0,1,0,0,0,0,0,0,0,1
1,1,0.7949438202247192,2.4612422909015312,0,0,1,1,0,0,0,1,0,0,0,0,0,0
1,3,0.5466292134831461,-0.2827766613540295,0,1,0,1,0,1,0,0,0,0,0,0,0,1
1,1,0.7460674157303371,1.6737318966114614,0,0,1,1,0,1,0,1,0,0,0,0,0,0
0,3,0.7460674157303371,-0.277362968609244,1,1,0,1,0,1,0,0,0,0,0,0,0,1
0,3,0.0,-0.25967968262767654,1,1,0,1,1,0,0,0,0,0,0,0,0,1
0,1,0.9483146067415731,1.6201363384380845,1,1,0,1,0,1,0,0,0,1,0,0,0,0
0,3,0.21910112359550565,0.2867438153974083,1,0,0,0,0,1,0,0,0,0,0,0,0,1
1,3,0.5662921348314607,-0.14382665788926616,0,1,0,0,0,1,0,0,0,0,0,0,0,1
1,2,0.2808988764044944,0.6763477929457417,0,0,1,1,0,0,0,0,0,0,0,0,0,1
1,3,0.23707865168539327,0.09726456932991473,0,0,1,0,0,1,0,0,0,0,0,1,0,0
1,1,0.9657303370786517,0.5238635576190146,0,1,0,1,0,1,0,1,0,0,0,0,0,0
0,3,0.3904494382022472,-0.277362968609244,1,1,0,1,0,1,0,0,0,0,0,0,0,1
0,3,0.8089887640449438,0.7285011433719076,1,0,1,0,0,1,0,0,0,0,0,0,0,1
0,3,0.2808988764044944,-0.2858429769246761,0,1,0,1,0,1,0,0,0,0,0,0,0,1
1,2,0.953932584269663,0.06694788995911578,0,1,0,1,0,1,0,0,0,0,0,0,0,1
0,3,0.21910112359550565,0.6353856281615965,1,0,0,0,1,0,0,0,0,0,0,0,0,1
1,2,0.0,-0.06298073591573695,1,1,0,1,0,1,0,0,0,0,0,0,0,1
0,3,0.6696629213483147,0.15356697387568427,0,0,1,1,0,1,0,0,0,0,0,0,0,1
1,3,0.0,-0.31309334072482853,0,1,0,1,0,0,0,0,0,0,0,0,0,1
0,2,0.7460674157303371,0.5000433095419583,1,1,0,1,0,1,0,0,0,0,0,0,0,1
1,2,0.7264044943820225,-0.06298073591573695,1,1,0,1,0,1,0,0,1,0,0,0,0,0
1,3,0.28876404494382024,-0.27826380708197634,0,1,0,1,1,0,0,0,0,0,0,0,0,1
1,1,0.5910112359550562,0.9114839581456586,1,1,0,1,0,1,0,0,0,0,0,0,0,0
0,3,0.2561797752808989,0.2867438153974083,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1,3,0.7949438202247192,0.7333734668422146,0,0,1,0,0,1,0,0,0,0,0,0,0,1
0,3,0.0,-0.31309334072482853,1,1,0,1,0,0,0,0,0,0,0,0,0,1
0,1,0.3679775280898877,10.764404753655324,1,0,0,0,0,1,0,1,0,0,0,0,0,0
1,3,0.0,-0.28476023837571895,0,1,0,1,1,0,0,0,0,0,0,0,0,1
0,3,0.0,-0.2840412999792114,1,1,0,1,0,1,0,0,0,0,0,0,0,1
0,1,0.8247191011235955,0.5745703693437738,1,1,0,1,0,0,0,0,0,0,0,0,0,1
1,1,0.0,5.719743953987942,0,0,1,1,0,0,1,0,0,0,0,0,0,0
1,3,0.0,-0.29035583119672925,0,1,0,1,1,0,0,0,0,0,0,0,0,1
0,2,0.9921348314606737,-0.1712545908114476,1,1,0,1,0,1,0,0,0,0,0,0,0,1
0,1,0.5910112359550562,2.9327749289723513,1,0,1,1,0,0,0,0,0,0,0,0,0,1
0,1,0.8483146067415731,1.6260914004573488,1,0,1,1,0,1,0,0,0,0,0,0,0,1
1,3,0.0,-0.3129114406486037,1,1,0,1,0,0,0,0,0,0,0,0,0,1
0,3,0.41348314606741576,-0.277362968609244,1,1,0,1,0,1,0,0,0,0,0,0,0,1
0,3,0.33932584269662924,0.15356697387568427,0,0,0,1,0,1,0,0,0,0,0,0,0,1
1,3,0.2808988764044944,-0.13913190354098817,0,0,1,1,0,0,0,0,0,0,0,0,0,1
0,3,0.8247191011235955,-0.21564687131868895,0,0,1,1,0,1,0,0,0,0,0,0,0,1
0,2,0.5662921348314607,0.283495599750537,0,0,1,1,0,1,0,0,0,0,0,0,0,1
0,3,0.0,-0.2840412999792114,1,1,0,1,0,0,0,0,0,0,0,0,0,1
1,2,0.22808988764044946,1.1747713256184602,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,3,0.3679775280898877,-0.28476023837571895,0,1,0,1,1,0,0,0,0,0,0,0,0,1
0,3,0.0,-0.277362968609244,1,1,0,1,0,1,0,0,0,0,0,0,0,1
0,3,0.0,0.04529311897997366,1,0,1,1,1,0,0,0,0,0,0,0,0,1
1,3,0.0,-0.29035583119672925,0,1,0,1,1,0,0,0,0,0,0,0,0,1
0,3,0.0,0.31291144064860377,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,3,0.33932584269662924,0.14490506548402746,0,0,1,1,0,1,0,0,0,0,0,0,0,1
0,3,0.25280898876404495,1.092842665095974,1,0,0,0,0,1,0,0,0,0,0,0,0,1
0,3,0.41348314606741576,-0.28819035409881505,1,1,0,1,0,1,0,0,0,0,0,0,0,1
1,1,0.9140449438202247,2.6971017254521517,0,0,1,1,0,0,0,0,1,0,0,0,0,0
1,2,0.6179775280898877,0.5000433095419583,0,0,1,1,0,1,0,0,0,0,0,0,0,1
0,1,0.9893258426966294,2.058285981567459,1,1,0,0,0,0,1,0,0,0,0,0,0,0
1,1,0.0,0.9114839581456586,1,1,0,1,0,1,0,1,0,0,0,0,0,0
