Survived,Pclass,Age,Fare,Sex_male,ZeroSib,OneSib,YesCh,Embarked_Q,Embarked_S,Cabin_B,Cabin_C,Cabin_D,Cabin_E,Cabin_F,Cabin_G,Cabin_T,Cabin_Z
0,3,0.4426966292134832,-0.3120106021758714,1,0,1,1,0,1,0,0,0,0,0,0,0,1
1,1,0.7949438202247192,2.4612422909015312,0,0,1,1,0,0,0,1,0,0,0,0,0,0
1,3,0.5466292134831461,-0.2827766613540295,0,1,0,1,0,1,0,0,0,0,0,0,0,1
1,1,0.7460674157303371,1.6737318966114614,0,0,1,1,0,1,0,1,0,0,0,0,0,0
0,3,0.7460674157303371,-0.277362968609244,1,1,0,1,0,1,0,0,0,0,0,0,0,1
0,3,0.0,-0.2596796826276765,1,1,0,1,1,0,0,0,0,0,0,0,0,1
0,1,0.9483146067415732,1.6201363384380845,1,1,0,1,0,1,0,0,0,1,0,0,0,0
0,3,0.2191011235955056,0.2867438153974083,1,0,0,0,0,1,0,0,0,0,0,0,0,1
1,3,0.5662921348314607,-0.1438266578892661,0,1,0,0,0,1,0,0,0,0,0,0,0,1
1,2,0.2808988764044944,0.6763477929457417,0,0,1,1,0,0,0,0,0,0,0,0,0,1
1,3,0.2370786516853932,0.0972645693299147,0,0,1,0,0,1,0,0,0,0,0,1,0,0
1,1,0.9657303370786516,0.5238635576190146,0,1,0,1,0,1,0,1,0,0,0,0,0,0
0,3,0.3904494382022472,-0.277362968609244,1,1,0,1,0,1,0,0,0,0,0,0,0,1
0,3,0.8089887640449438,0.7285011433719076,1,0,1,0,0,1,0,0,0,0,0,0,0,1
0,3,0.2808988764044944,-0.2858429769246761,0,1,0,1,0,1,0,0,0,0,0,0,0,1
1,2,0.953932584269663,0.0669478899591157,0,1,0,1,0,1,0,0,0,0,0,0,0,1
0,3,0.2191011235955056,0.6353856281615965,1,0,0,0,1,0,0,0,0,0,0,0,0,1
1,2,0.0,-0.0629807359157369,1,1,0,1,0,1,0,0,0,0,0,0,0,1
0,3,0.6696629213483147,0.1535669738756842,0,0,1,1,0,1,0,0,0,0,0,0,0,1
1,3,0.0,-0.3130933407248285,0,1,0,1,0,0,0,0,0,0,0,0,0,1
0,2,0.7460674157303371,0.5000433095419583,1,1,0,1,0,1,0,0,0,0,0,0,0,1
1,2,0.7264044943820225,-0.0629807359157369,1,1,0,1,0,1,0,0,1,0,0,0,0,0
1,3,0.2887640449438202,-0.2782638070819763,0,1,0,1,1,0,0,0,0,0,0,0,0,1
0,3,0.2561797752808989,0.2867438153974083,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,3,0.0,-0.3130933407248285,1,1,0,1,0,0,0,0,0,0,0,0,0,1
0,1,0.3679775280898877,10.764404753655324,1,0,0,0,0,1,0,1,0,0,0,0,0,0
1,3,0.0,-0.2847602383757189,0,1,0,1,1,0,0,0,0,0,0,0,0,1
0,3,0.0,-0.2840412999792114,1,1,0,1,0,1,0,0,0,0,0,0,0,1
0,1,0.8247191011235955,0.5745703693437738,1,1,0,1,0,0,0,0,0,0,0,0,0,1
1,1,0.0,5.719743953987942,0,0,1,1,0,0,1,0,0,0,0,0,0,0
1,3,0.0,-0.2903558311967292,0,1,0,1,1,0,0,0,0,0,0,0,0,1
0,2,0.9921348314606736,-0.1712545908114476,1,1,0,1,0,1,0,0,0,0,0,0,0,1
0,1,0.5910112359550562,2.9327749289723517,1,0,1,1,0,0,0,0,0,0,0,0,0,1
0,1,0.8483146067415731,1.6260914004573488,1,0,1,1,0,1,0,0,0,0,0,0,0,1
1,3,0.0,-0.3129114406486037,1,1,0,1,0,0,0,0,0,0,0,0,0,1
0,3,0.4134831460674157,-0.277362968609244,1,1,0,1,0,1,0,0,0,0,0,0,0,1
0,3,0.3393258426966292,0.1535669738756842,0,0,0,1,0,1,0,0,0,0,0,0,0,1
1,3,0.2808988764044944,-0.1391319035409881,0,0,1,1,0,0,0,0,0,0,0,0,0,1
0,3,0.8247191011235955,-0.2156468713186889,0,0,1,1,0,1,0,0,0,0,0,0,0,1
0,2,0.5662921348314607,0.283495599750537,0,0,1,1,0,1,0,0,0,0,0,0,0,1
0,3,0.0,-0.2840412999792114,1,1,0,1,0,0,0,0,0,0,0,0,0,1
1,2,0.2280898876404494,1.1747713256184602,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0,3,0.0,-0.277362968609244,1,1,0,1,0,1,0,0,0,0,0,0,0,1
0,3,0.0,0.0452931189799736,1,0,1,1,1,0,0,0,0,0,0,0,0,1
1,3,0.0,-0.2903558311967292,0,1,0,1,1,0,0,0,0,0,0,0,0,1
0,3,0.0,0.3129114406486037,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,3,0.2528089887640449,1.092842665095974,1,0,0,0,0,1,0,0,0,0,0,0,0,1
0,3,0.4134831460674157,-0.288190354098815,1,1,0,1,0,1,0,0,0,0,0,0,0,1
1,1,0.9140449438202248,2.697101725452152,0,0,1,1,0,0,0,0,1,0,0,0,0,0
1,2,0.6179775280898877,0.5000433095419583,0,0,1,1,0,1,0,0,0,0,0,0,0,1
1,1,0.0,0.9114839581456586,1,1,0,1,0,1,0,1,0,0,0,0,0,0
1,2,0.4134831460674157,-0.1712545908114476,0,1,0,1,0,1,0,0,0,0,0,0,0,1
0,3,0.606179775280899,-0.3129114406486037,1,1,0,1,0,0,0,0,0,0,0,0,0,1
1,2,0.2449438202247191,0.5758350079689557,0,0,1,0,0,1,0,0,0,0,0,0,0,1
0,3,0.2724719101123596,1.405212736470099,1,0,0,0,0,1,0,0,0,0,0,0,0,1
0,3,0.4426966292134832,-0.3129114406486037,1,1,0,1,0,0,0,0,0,0,0,0,0,1
