iter	Passed	Remaining
0	4	4939
1	8	4336
2	12	3988
3	15	3972
4	19	3960
5	23	3915
6	27	3860
7	30	3829
8	34	3792
9	38	3785
10	41	3748
11	45	3706
12	48	3660
13	52	3697
14	56	3702
15	59	3675
16	63	3646
17	67	3669
18	70	3656
19	74	3651
20	77	3634
21	81	3635
22	85	3630
23	88	3610
24	92	3590
25	95	3582
26	99	3601
27	103	3579
28	106	3572
29	110	3563
30	113	3551
31	117	3549
32	120	3533
33	124	3524
34	127	3507
35	130	3490
36	133	3477
37	136	3461
38	139	3446
39	143	3441
40	148	3462
41	151	3463
42	155	3452
43	158	3444
44	162	3440
45	165	3431
46	169	3427
47	172	3419
48	175	3414
49	180	3427
50	184	3424
51	188	3433
52	192	3436
53	196	3438
54	200	3437
55	203	3437
56	207	3432
57	211	3431
58	214	3425
59	218	3426
60	222	3423
61	225	3412
62	229	3407
63	233	3410
64	236	3403
65	239	3394
66	243	3394
67	247	3388
68	250	3384
69	254	3381
70	258	3379
71	261	3374
72	264	3363
73	268	3357
74	271	3350
75	274	3343
76	278	3333
77	281	3324
78	284	3317
79	287	3304
80	291	3306
81	294	3301
82	298	3297
83	301	3290
84	305	3287
85	308	3283
86	312	3276
87	315	3271
88	319	3268
89	323	3275
90	327	3267
91	330	3258
92	333	3252
93	337	3254
94	341	3253
95	344	3245
96	347	3237
97	351	3230
98	355	3231
99	358	3228
100	362	3224
101	365	3218
102	369	3213
103	372	3207
104	375	3199
105	378	3193
106	381	3185
107	384	3175
108	387	3165
109	389	3155
110	392	3143
111	395	3133
112	397	3123
113	400	3115
114	403	3107
115	406	3099
116	409	3091
117	412	3082
118	415	3075
119	418	3066
120	420	3056
121	423	3047
122	426	3039
123	429	3031
124	433	3031
125	436	3025
126	439	3019
127	442	3012
128	445	3005
129	448	2998
130	450	2990
131	453	2982
132	456	2974
133	458	2965
134	461	2957
135	464	2950
136	467	2945
137	470	2939
138	473	2933
139	476	2927
140	479	2923
141	482	2918
142	486	2913
143	488	2906
144	492	2901
145	495	2896
146	498	2891
147	501	2886
148	504	2880
149	507	2874
150	510	2870
151	513	2867
152	516	2861
153	519	2855
154	522	2849
155	525	2843
156	528	2837
157	531	2832
158	534	2826
159	537	2821
160	540	2816
161	544	2814
162	547	2809
163	550	2804
164	553	2800
165	556	2796
166	559	2791
167	562	2787
168	566	2784
169	569	2782
170	572	2777
171	576	2773
172	579	2770
173	582	2766
174	585	2761
175	588	2757
176	592	2752
177	595	2747
178	598	2742
179	601	2739
180	604	2736
181	608	2734
182	611	2729
183	614	2726
184	617	2721
185	620	2716
186	624	2716
187	628	2715
188	631	2711
189	635	2707
190	638	2704
191	641	2701
192	645	2699
193	649	2696
194	652	2691
195	656	2691
196	658	2686
197	661	2681
198	664	2675
199	667	2669
200	670	2665
201	674	2662
202	676	2657
203	679	2651
204	682	2645
205	685	2640
206	704	2698
207	707	2693
208	710	2687
209	713	2682
210	716	2679
211	719	2675
212	722	2670
213	725	2665
214	728	2661
215	732	2658
216	736	2656
217	739	2652
218	742	2648
219	745	2643
220	748	2638
221	751	2634
222	754	2630
223	758	2626
224	761	2622
225	764	2617
226	767	2613
227	770	2610
228	774	2606
229	777	2603
230	781	2601
231	784	2597
232	787	2593
233	791	2590
234	794	2586
235	798	2583
236	801	2580
237	804	2576
238	808	2574
239	812	2571
240	815	2567
241	818	2562
242	821	2558
243	824	2555
244	828	2552
245	831	2548
246	834	2543
247	837	2538
248	840	2533
249	843	2529
250	846	2526
251	849	2521
252	852	2516
253	855	2512
254	858	2507
255	861	2502
256	864	2498
257	866	2493
258	870	2491
259	873	2487
260	877	2484
261	880	2481
262	884	2477
263	887	2473
264	890	2470
265	894	2467
266	897	2463
267	900	2458
268	903	2454
269	906	2450
270	909	2446
271	912	2441
272	915	2438
273	919	2435
274	922	2431
275	925	2428
276	928	2423
277	931	2418
278	934	2414
279	937	2411
280	941	2408
281	944	2405
282	948	2404
283	952	2401
284	956	2398
285	959	2395
286	962	2390
287	965	2386
288	968	2383
289	972	2379
290	975	2376
291	978	2373
292	981	2369
293	985	2365
294	988	2362
295	991	2359
296	995	2355
297	998	2352
298	1001	2348
299	1006	2347
300	1009	2344
301	1012	2340
302	1015	2336
303	1019	2334
304	1023	2331
305	1026	2329
306	1030	2325
307	1033	2322
308	1037	2320
309	1040	2317
310	1044	2313
311	1047	2309
312	1051	2309
313	1055	2306
314	1059	2303
315	1062	2300
316	1065	2296
317	1070	2294
318	1073	2292
319	1076	2288
320	1079	2284
321	1083	2280
322	1086	2276
323	1090	2274
324	1093	2271
325	1097	2268
326	1100	2265
327	1104	2262
328	1107	2258
329	1110	2254
330	1114	2252
331	1118	2250
332	1121	2246
333	1124	2243
334	1128	2239
335	1131	2236
336	1134	2232
337	1138	2229
338	1141	2225
339	1144	2221
340	1148	2218
341	1151	2215
342	1154	2211
343	1157	2207
344	1161	2205
345	1164	2201
346	1168	2198
347	1171	2194
348	1174	2190
349	1177	2186
350	1180	2182
351	1183	2179
352	1187	2176
353	1190	2172
354	1194	2169
355	1197	2166
356	1200	2162
357	1203	2159
358	1207	2155
359	1211	2153
360	1214	2149
361	1217	2146
362	1221	2143
363	1225	2140
364	1227	2136
365	1230	2132
366	1233	2128
367	1237	2124
368	1240	2120
369	1243	2117
370	1247	2114
371	1250	2110
372	1253	2107
373	1257	2104
374	1260	2100
375	1263	2096
376	1266	2092
377	1269	2088
378	1273	2086
379	1276	2083
380	1280	2079
381	1283	2075
382	1286	2072
383	1290	2069
384	1293	2066
385	1296	2062
386	1299	2058
387	1302	2054
388	1306	2051
389	1309	2047
390	1312	2043
391	1315	2039
392	1318	2036
393	1322	2033
394	1325	2029
395	1328	2025
396	1331	2022
397	1334	2018
398	1338	2015
399	1341	2011
400	1344	2008
401	1347	2004
402	1350	2000
403	1353	1996
404	1356	1992
405	1359	1989
406	1362	1985
407	1366	1982
408	1369	1978
409	1372	1974
410	1375	1971
411	1378	1967
412	1382	1964
413	1385	1961
414	1388	1957
415	1391	1954
416	1395	1950
417	1398	1946
418	1401	1943
419	1404	1939
420	1407	1935
421	1410	1931
422	1413	1928
423	1416	1924
424	1420	1921
425	1423	1917
426	1426	1914
427	1429	1910
428	1432	1907
429	1436	1903
430	1438	1899
431	1442	1896
432	1445	1892
433	1449	1889
434	1452	1886
435	1455	1882
436	1457	1878
437	1460	1874
438	1463	1870
439	1467	1867
440	1470	1863
441	1473	1859
442	1476	1856
443	1479	1852
444	1482	1848
445	1484	1844
446	1487	1840
447	1491	1837
448	1494	1833
449	1497	1830
450	1500	1826
451	1503	1823
452	1507	1820
453	1510	1816
454	1513	1812
455	1516	1808
456	1519	1805
